id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
999,774 Sutter Pl,sold,231251,3,1,2455,33.39320707191135,-111.91880573279704
1000,569 Geary Way,active,289827,3,1,2297,33.42033526293644,-112.09950024526012
1001,307 3rd Trl,pending,230098,5,1,2383,33.52686656406938,-111.91979433739064
1002,620 1st Pl,pending,132842,2,1,2734,33.591193158147945,-112.08613148647828
1003,165 Texas Ave,pending,289901,2,3,3953,33.51960842867746,-112.07063475623548
1004,437 1st Rd,active,260850,3,3,3294,33.467608907668726,-112.16884088705429
1005,543 Bush Cir,sold,256398,5,1,1450,33.443692622141825,-112.01574586651041
1006,105 7th Cir,sold,214035,4,2,3157,33.40388661713571,-111.94007304807593
1007,360 Bush Trl,sold,273577,3,3,1967,33.47003992081981,-111.96764968139708
1008,645 Geary Vis,pending,115339,4,3,2181,33.5789064376772,-112.29076336040552
1009,366 4th Cir,pending,215212,2,2,3232,33.49884945481555,-112.23439868615998
1010,583 Blake Vis,sold,104082,3,2,2603,33.53838783557,-112.14654714924903
1011,683 Texas St,active,268732,4,1,2630,33.46901300837761,-112.26505923587986
1012,440 Franklin Rd,sold,156692,5,2,3352,33.478663516741875,-111.97682617762476
1013,577 2nd Way,active,151312,4,2,3524,33.45739327236975,-112.36164891066649
1014,714 5th St,pending,103775,2,3,2798,33.53502362289206,-112.19222979726909
1015,386 Mission Trl,pending,209345,2,2,1204,33.54508609385243,-112.22938273880858
1016,508 Sutter Wl,pending,178836,3,3,1437,33.52120403176277,-112.22220192755114
1017,353 2nd Vis,pending,189438,4,1,3557,33.47670351962155,-112.2188375144163
1018,451 Turk Blvd,sold,169609,5,1,1667,33.41958874595984,-112.28563639249063
1019,85 Indiana Rd,pending,217493,2,2,1707,33.57293234766832,-112.329052368248
1020,307 4th Cir,pending,125639,2,2,3565,33.47965597773362,-112.09200071520026
1021,439 Pine Dv,sold,128853,2,2,3404,33.39494225849496,-111.91839388463042
1022,360 7th Vis,sold,167088,5,1,3669,33.55876590059524,-112.10202836004056
1023,219 Texas Cir,active,186408,3,3,2360,33.536055443159746,-112.32143612815767
1024,744 Walnut Trl,pending,210042,2,3,3916,33.51477388428417,-112.29879146339269
1025,441 8th Way,sold,242724,4,1,3263,33.584531381824995,-112.19445566876409
1026,500 2nd Rd,pending,247856,4,2,3111,33.54608508391385,-111.94117957286488
1027,236 2nd Blvd,pending,100328,3,2,3260,33.46112721741695,-112.25443784525255
1028,379 7th Trl,pending,115393,2,2,3753,33.37529400158846,-112.31867481859048
1029,65 5th Dv,sold,100622,4,3,1677,33.592547980896654,-111.93360861460815
1030,152 Blake Way,pending,192128,4,1,3416,33.514244186427874,-112.35166344061587
1031,256 Turk Pl,sold,109421,2,3,2562,33.41216622407528,-112.03578856339877
1032,704 8th Trl,pending,286802,5,2,3430,33.42998315264011,-112.28984697231378
1033,645 Texas Trl,active,169238,5,1,1459,33.39632164359857,-112.33158555317955
1034,538 8th Rd,pending,229777,2,1,1230,33.469079964394425,-112.34598883313038
1035,378 Texas Vis,active,185642,4,3,3396,33.457565897847864,-112.30553577522653
1036,148 Post Way,pending,192180,4,3,1121,33.5838938038196,-111.90903472047093
1037,521 Franklin Wl,pending,263438,4,2,2587,33.48953957619423,-112.15921906921544
1038,447 7th Ave,sold,227257,4,2,2164,33.369135196502896,-112.28647922587008
1039,218 Post Rd,pending,120902,2,1,2925,33.568732235149035,-111.8767318631253
1040,215 4th Vis,pending,226949,3,1,3722,33.5168235171202,-111.90014063471189
1041,279 2nd Cir,active,265261,4,3,3686,33.557398497969444,-112.2825247416074
1042,654 Page Vis,pending,215739,5,1,3436,33.54560171721453,-111.98676029838259
1043,212 Blake Vis,sold,270142,4,2,1207,33.49335041935619,-112.09268379518402
1044,536 Wall Pl,pending,253946,3,1,3112,33.36474827973351,-112.35519850795829
1045,222 5th Pl,sold,151685,4,2,3965,33.43354265683038,-111.97816591227497
1046,620 5th Rd,pending,162265,5,1,2242,33.542343213089175,-112.26559996088281
1047,254 3rd Vis,sold,285700,5,1,2382,33.42878867944779,-112.27268706376162
1048,575 Euclid Blvd,active,273102,2,2,3793,33.414546656230996,-112.07297519650174
1049,271 9th Pl,active,299191,2,1,2718,33.586533294998105,-112.30182215695092
1050,107 Sutter Blvd,active,137831,4,2,2583,33.56191617906197,-111.9907259591313
1051,262 Texas Blvd,sold,101194,4,3,3805,33.551576310155895,-112.33422696187091
1052,796 6th Dv,active,205815,3,3,3821,33.52082335764458,-111.97973564036722
1053,67 Blake St,sold,165639,2,3,2189,33.53717169603151,-112.06578616581726
1054,54 Blake Vis,active,169210,5,1,2508,33.49380229392915,-112.06655961696505
1055,531 7th Pl,pending,284714,2,1,1031,33.511213084489476,-112.30400264631571
1056,85 Euclid Pl,sold,107255,2,2,3680,33.41664346716375,-112.23954627946844
1057,291 2nd Way,pending,159090,4,3,2052,33.587367069398375,-112.12551729073688
1058,68 Page Dv,pending,258771,2,2,1449,33.56860257455846,-112.28205962986853
1059,697 2nd Pl,sold,227546,5,2,2563,33.567166392895324,-112.27387737354654
1060,702 7th Rd,sold,175597,2,1,2456,33.56249446372046,-112.18798250648463
1061,243 Texas Cir,sold,110703,4,3,2875,33.47487980306124,-112.15611868416997
1062,376 Indiana Dv,pending,259107,2,2,3431,33.567663628582395,-112.33894558188408
1063,439 4th Dv,pending,283506,5,1,3091,33.398738471209235,-111.88382230002603
1064,251 Turk Pl,active,233378,3,2,3521,33.40800358404359,-112.09322437986731
1065,265 Page Ave,sold,153337,3,3,3647,33.41048080503313,-112.35572640333704
1066,280 7th Pl,pending,113439,4,1,3375,33.56849216374984,-112.05760382741623
1067,741 4th Ave,pending,172845,4,2,2026,33.53573063411273,-112.09651795960951
1068,88 4th Blvd,sold,241532,5,2,2811,33.58201460649839,-112.29468877462259
1069,495 3rd Dv,active,167229,2,3,1652,33.41455494368724,-112.20702400131958
1070,781 Blake Vis,active,262588,5,2,2635,33.41958222550672,-112.15930151501983
1071,580 Sutter St,pending,252999,5,1,1391,33.52558315007127,-112.08807804486737
1072,572 4th Ave,active,271106,3,1,2379,33.53238654297363,-112.15377439513016
1073,91 Blake Wl,pending,275566,3,1,1309,33.449240218244505,-112.24890793764023
1074,33 Blake Dv,sold,137575,2,1,3421,33.42089904081731,-112.21310270006147
1075,557 Mission Cir,pending,288633,4,3,2354,33.58476104788519,-112.12780608485511
1076,84 Indiana Vis,pending,130707,2,3,3626,33.5877271304806,-112.22396626151263
1077,458 5th St,active,149533,2,3,2899,33.442668719891486,-112.14645701117654
1078,573 1st Vis,active,166041,3,2,2079,33.37258685037885,-111.96351403710102
1079,369 3rd Dv,active,141912,5,3,1852,33.53146103457534,-111.92896038910494
1080,269 Euclid Cir,sold,202830,2,1,2668,33.55231862291859,-112.18499060872065
1081,397 Blake Ave,active,248788,3,3,3974,33.58095673179199,-112.03251263721837
1082,390 3rd Blvd,active,234299,4,1,3322,33.36183337590464,-111.88057496505868
1083,63 Geary Trl,active,218499,5,3,2137,33.58982415617082,-112.05821724250225
1084,467 6th Pl,sold,189761,5,2,2374,33.484355085651046,-112.0681735314293
1085,564 Euclid Way,active,232855,5,1,1984,33.58209640430204,-112.17794733763245
1086,686 4th Wl,pending,267899,3,2,3743,33.42648361506463,-112.33131921116919
1087,144 1st Rd,sold,267689,3,3,3489,33.57670934139369,-112.3335453322517
1088,591 8th Vis,pending,260483,5,1,1140,33.54012839812244,-112.19333871684448
1089,92 3rd Ave,sold,265561,3,2,1550,33.383851004560704,-112.18423375789601
1090,578 Walnut St,active,151338,3,2,1100,33.380617580711544,-112.26783465137463
1091,141 Blake Blvd,active,131086,3,2,2222,33.54975187600259,-112.31646309717819
